LHD Name,Year Established,Telephone,Fax,Email,Website,Administrator,Area Served,Region Served,LHD Address 1,LHD City State ZIP,After Hours Phone,After Hours Method
Adams County Health Department,1944,(217) 222-8440,(217) 222-8508,jwelch@co.adams.il.us,www.co.adams.il.us/health,"Jerrod C. Welch, M.P.A.",Adams County,Peoria Region,330 Vermont Street,"Quincy, Illinois 62301",(217) 214-4000,Administrator - Jerrod Welch
Bond County Health Department,1966,(618) 664-1442,(618) 664-1744,seifert@bchd.us,www.bchd.us,Sean Eifert,Bond County,Edwardsville Region,1520 South Fourth Street,"Greenville, Illinois 62246",(618) 664-5020,Health Department
Boone County Health Department,1966,(815) 544-2951,(815) 544-2050,amehl@boonehealth.org,www.boonecountyil.org/department/health,Amanda Mehl,Boone County,Rockford Region,1204 Logan Avenue,"Belvidere, Illinois 61008-4031",(815) 544-2144,Sheriff's Dispatch
Brown County Public Health Department,1978,(217) 773-2714,(217) 773-2512,administrator@bchd1.org,www.browncountyhealth.com,"Jerrod C. Welch, M.P.A.",Brown County,Peoria Region,120 East Main Street,"Mt. Sterling, Illinois 62353 ",(217) 242-9013,Mary Reich
Bureau County Health Department,1991,(815) 872-5091,(815) 872-5092,hgomez@bchealthdepartment.org,www.bchealthdepartment.org,Hector Gomez (interim),Bureau County,Peoria Region,Perry Plaza 526 Bureau Valley Parkway,"Princeton, Illinois 61356",(815) 875-3344,Sheriff Dispatch
Calhoun County Health Department,1966,(618)576-2428,(618)576-9391,Sshireman@calhouncountyhealth.net,www.calhouncountyhealth.net,"Stephen Shireman, M.A.",Calhoun County,Edwardsville Region,P.O. Box 158,"Hardin, IL 62047",(618) 576-2417,Sheriff
Carroll County Health Department,2003,(815) 244-8855,(815) 244-5010,craig.beintema@aeroinc.net,www.ccphd.org,Craig Beintema,Carroll County,Rockford Region,822 South Mill Street,"Mt. Carroll, IL 61053",(815) 244-2635,Sheriff's Office
Cass County Health Department,1980,(217) 452-3057,(217) 452-7245,tarmstrong@casscohealth.org,www.casscohealth.org,"Teresa L. Armstrong, RN BSN",Cass County,Peoria Region,331 South Main Street,"Virginia, IL 62691",(217) 473-0070,Administrator - Teresa Armstrong
Champaign County Public Health Department,1996,(217) 352-7961,(217) 352-0126,jpryde@c-uphd.org,,Julie Pryde,Champaign County (not covered by Champaign-Urbana),Champaign Region,201 W. Kenyon Road,"Champaign, IL 61820",,
Champaign-Urbana Public Health District,1937,(217) 352-7961,(217) 352-0126,jpryde@c-uphd.org,www.c-uphd.org   *see notes for more phone numbers,Julie Pryde,Cities of Champaign and Urbana,Champaign Region,201 W. Kenyon Road,"Champaign, IL 61820  ",(217) 352-7961,Regular Business Phone-With After Hour Options
